,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
318,Doha,25.2867,51.5333,66.2,68,0,6.93,QA,1609974722
319,Rock Sound,24.9,-76.2,71.04,56,44,7.94,BS,1609974814
320,Rørvik,64.8621,11.2373,30.22,89,0,17.31,NO,1609974814
321,Presidente Epitácio,-21.7633,-52.1156,79.2,72,99,4.74,BR,1609974814
322,Vilhena,-12.7406,-60.1458,77.0,83,20,3.36,BR,1609974814
323,Morwell,-38.2333,146.4,64.0,83,91,1.99,AU,1609974815
324,Port Alfred,-33.5906,26.891,66.0,90,1,1.99,ZA,1609974815
325,Kidal,18.4411,1.4078,73.36,20,0,7.11,ML,1609974815
326,Mercedes,-34.6515,-59.4307,75.0,80,7,4.0,AR,1609974815
327,Morón,-34.6534,-58.6198,77.0,66,30,3.0,AR,1609974815
328,Codrington,-38.2667,141.9667,61.18,80,49,10.58,AU,1609974815
329,Foam Lake,51.65,-103.5343,37.4,51,60,23.04,CA,1609974815
330,San Cristobal,7.7669,-72.225,82.4,58,40,9.17,VE,1609974815
331,Mungwi,-10.1732,31.3694,63.25,95,100,2.55,ZM,1609974815
332,Capão da Canoa,-29.7456,-50.0097,73.74,89,75,5.32,BR,1609974650
333,Puerto Rondón,6.2805,-71.1,77.27,64,96,3.89,CO,1609974815
334,Kaminskiy,57.1516,41.4732,8.94,96,95,2.71,RU,1609974815
335,Kaitangata,-46.2817,169.8464,59.65,96,100,2.24,NZ,1609974815
336,Bernalillo,35.05,-106.6673,48.99,22,20,12.75,US,1609974815
337,Kieta,-6.2167,155.6333,86.31,62,48,5.37,PG,1609974815
338,Provideniya,64.3833,-173.3,-5.22,82,0,4.65,RU,1609974815
339,Najrān,17.4924,44.1277,57.2,47,0,4.7,SA,1609974816
340,Ixtapa,20.7,-105.2,73.4,83,75,10.29,MX,1609974816
341,Haines Junction,60.7522,-137.5108,22.6,94,89,4.03,CA,1609974816
342,Karwar,14.8,74.1333,77.43,82,88,4.34,IN,1609974608
343,Kiunga,-6.1219,141.2906,79.12,91,100,2.24,PG,1609974816
344,Letterkenny,54.95,-7.7333,36.21,94,100,4.56,IE,1609974816
345,Jefferson City,38.5767,-92.1735,48.2,49,75,9.17,US,1609974816
346,Dunedin,-45.8742,170.5036,62.98,81,96,3.58,NZ,1609974816
347,Shirokiy,49.758,129.523,-25.62,85,93,6.96,RU,1609974816
348,Vung Tau,10.346,107.0843,75.09,82,19,11.48,VN,1609974816
349,Tres Palos,18.1833,-101.6167,84.2,70,40,4.47,MX,1609974816
350,Meulaboh,4.1363,96.1285,76.98,87,91,3.36,ID,1609974816
351,Kollam,8.8833,76.6,78.8,88,40,6.55,IN,1609974816
352,Novy Urengoy,66.0833,76.6333,-11.43,88,80,15.75,RU,1609974816
